Numero d'inventario;Autore;Titolo;Data;Materia e tecnica;Dimensioni;Descrizione;Percorso
Q 134;Tiziano;Danae;1544- 1545;Olio su tela;Misure senza cornice: 120x172 cm Misure con cornice:160x212x1 4 cm;Il pittore Tiziano stava lavorando a un quadro raffigurante Danae, figlia del re di Argo, rinchiusa in una torre per sfuggire a una profezia che prevedeva la morte del padre per mano del nipote. Danae, sdraiata tra cuscini e lenzuola, accoglie con pudore e sensualità la pioggia dorata, trasformazione di Giove, che la feconda dando origine al semidio Perseo. Il volto di Danae rappresenta una donna chiamata Angela, amante del cardinale Alessandro Farnese, committente dell’opera.  Tiziano utilizza il colore e la luce per creare pose e volumi ispirati alla statuaria classica e agli artisti come Correggio e Michelangelo. L’erotismo della figura di Danae è tale che, nel corso dei secoli, il dipinto fu collocato in una sezione speciale del museo Borbonico dedicata alle opere oscene, visitabile solo con permesso. Durante la Seconda Guerra mondiale, il quadro fu trafugato dai nazisti e regalato a Göring, ma fu poi salvato dai minatori che impedirono che venisse distrutto.;11 - Tiziano Vecellio_Danae_Capodimonte_ph.L.Romano_0722
Q 365;Annibale Carracci;Ercole al bivio;1596;Olio su tela ;Misure senza cornice: 165x239 cm Misure con cornice: 193x263,5x 14,5 cm;Il dipinto rappresenta Ercole, simbolo del giovane Odoardo Farnese, che si trova ai margini di un bosco davanti a due figure femminili che incarnano il Vizio e la Virtù. La donna del Vizio, vestita in modo sensuale, offre all’eroe oggetti che rappresentano i piaceri facili e ingannevoli come dadi, carte, strumenti musicali e maschere teatrali. La Virtù, invece, appare con abiti più sobri e tiene una spada, indicando un sentiero difficile e roccioso che conduce alla gloria e alla vita virtuosa.  Il giovane Ercole sembra tentato dal Vizio, ma il suo sguardo è rivolto verso la Virtù, suggerendo la scelta finale per la via più ardua e nobile. Ai piedi della Virtù è inginocchiato un poeta con la corona d’alloro, pronto a celebrare le gesta eroiche, mentre Pegaso, simbolo della virtù e della famiglia Farnese, attende in cima al sentiero.  L’opera decorava il soffitto del Camerino di Ercole nel Palazzo Farnese a Roma, probabilmente lo studio del giovane Odoardo, nominato cardinale. L’iconografia è ispirata a un racconto di Prodico Sofista sul mito di Ercole, adattato dall’umanista Fulvio Orsini. La figura di Ercole è ispirata alle sculture antiche presenti nelle collezioni Farnese, studiate dal pittore Annibale Carracci.;12 - Q 365 Annibale Carracci_Ercole al bivio_Capodimonte_ph.L.Romano_2280
Q 363;Annibale Carracci;Pietà;1599-1600;Olio su tela ;Misure senza cornice: 156 x 149 cm Misure con cornice: 183,5 x 177 x 14 cm;Il dipinto mostra una scena di grande intensità emotiva: su uno sfondo scuro, la Madonna tiene nel suo ampio grembo il corpo senza vita di Cristo. Due angeli completano la composizione a piramide: uno è punto da una spina della corona di Cristo, mentre l’altro fatica a sostenere la mano senza vita del Figlio. La forza espressiva deriva sia dalla monumentalità e solidità delle figure, sia dall’espressione di dolore degli angioletti e della Vergine. La Madonna, con la mano sinistra aperta verso l’alto, sembra offrire il corpo di Cristo al Padre, mentre il corpo di Gesù, quasi intatto tranne la ferita al piede, sottolinea la sua natura divina.  La composizione richiama la Pietà in marmo di Michelangelo nella basilica di San Pietro, ma i colori vivaci e i contorni morbidi riflettono lo stile del maestro bolognese Annibale Carracci. Il motivo dell’angelo che sostiene la mano di Cristo è preso dalla Deposizione di Raffaello, che a sua volta si ispirò al Sarcofago di Meleagro.;13 - Annibale Carracci_Pietà_Capodimonte_ph.L.Romano_2265
Propriteà FEC – Fondo Edifici di Culto;Caravaggio;La Flagellazione di Cristo;1607;Olio su tela;Misure senza cornice: 286x213 cm Misure con cornice: 330x256x15 cm;La Flagellazione proviene dalla cappella della famiglia de Franchis, la prima a sinistra entrando in San Domenico Maggiore a Napoli. Ma da oltre cinquant’anni la tela – tra le più significative e celebrate dell’ultimo tempo del Caravaggio (1606-1610) – ha cambiato ubicazione. Al terzo tentativo accertato di furto, nel 1972 l’opera è stata ricoverata a Capodimonte, diventando l’unico Caravaggio delle collezioni. Nell’allestimento di Capodimonte, al secondo piano, il quadro è esposto in una sala dedicata. Ugualmente, al Louvre, la tela compare in posizione di rilievo nella Grande Galerie. La Flagellazione è la seconda delle commissioni pubbliche pervenuteci dei due soggiorni del Caravaggio a Napoli: il primo alla fine del 1606, il secondo a fine del 1609. La più antica è la Madonna delle Sette Opere di Misericordia, eseguita entro il gennaio 1607 per l’altar maggiore del Pio Monte di Misericordia, dove si vede tuttora. Dentro un ambiente indeterminato, simile a uno stanzone, il Cristo, legato a una colonna di cui vediamo la parte superiore, è flagellato da due carnefici, mentre un terzo, accovacciato in basso, sta legando delle fascine per realizzare un ulteriore flagello. Se la composizione ricalca un impianto moderatamente tradizionale, dove echi di Raffaello e Giulio Romano si combinano alla conoscenza di Tiziano, nuova vi appare la condotta pittorica. Mentre il Cristo rivela uno dei nudi più umani e veri che siano mai stati dipinti, le figure degli scherani sono realizzate con pochi colori e quasi senza disegno, come se il pittore avesse dipinto di prima. L’ultimo stile del Caravaggio, di cui quest’opera è il manifesto, prevede un’esecuzione rapida, volutamente antiaccademica. Capolavoro senza precedenti né eredi diretti, la Flagellazione de Franchis rimase uno dei quadri del maestro lombardo più ostici da copiare, o anche solo da emulare. Lo conferma la modestia della copia secentesca, forse riferibile al napoletano Andrea Vaccaro, che si trova oggi in San Domenico Maggiore. Gli esami e gli approfondimenti diagnostici, rivelatisi decisivi negli studi caravaggeschi degli ultimi anni, hanno interessato a più riprese il quadro. Le prime radiografie hanno rivelato che, al di sotto della figura del flagellatore di destra, Caravaggio aveva immaginato in un primo tempo un ritratto, forse quello del committente Tommaso de Franchis.;14 - Caravaggio_Flagellazione di Cristo_Capodimonte_ph.L.Romano_10780
Q 349;Guido Reni;Atalanta e Ippomene;1615- 1618 circa;Olio su tela;Misure senza cornice: 191x264 cm Misure con cornice: 233,5x304,5 cm;Il mito di Atalanta e Ippomene è narrato da Venere nel X Libro delle Metamorfosi di Ovidio. Per sfuggire al vaticinio di un oracolo, Atalanta, avversa al matrimonio, sfida i suoi pretendenti a superarla in una gara di corsa, pena la morte nel caso fossero stati sconfitti. Ippomene, innamoratosi di lei, chiede a Venere di suggerirgli uno stratagemma che potesse favorirlo nella contesa. La dea gli regala tre pomi d’oro sottratti dal giardino delle Esperidi per distrarre la giovane vergine cacciatrice e ritardare la sua corsa. Guido Reni, bolognese di nascita, è tra i maggiori rappresentanti della pittura classicista del Seicento. La sua ricerca del bello ideale si sintetizza nello studio del classicismo raffaellesco mediato dai Carracci, della statuaria classica approfondita durante i soggiorni tra Roma e Bologna e della visione naturalistica di Caravaggio. Eseguita tra il 1615 e il 1618, la tela si sofferma sul momento cruciale dell’episodio: Atalanta arresta la corsa per raccogliere il secondo pomo d’oro – il primo è già al sicuro nella sua mano sinistra – mentre Ippomene si protende in avanti, con il viso rivolto alla rivale, per raggiungere il traguardo. Una sfida tra due innamorati o una coreografia dal ritmo cadenzato? Il pittore sottrae alla narrazione ovidiana tutto il contesto, ponendo i due protagonisti in primo piano, su di uno sfondo di tenebra che dalla linea dell’orizzonte lascia trasparire un principio di luce. La concitazione della gara è cristallizzata in un’unica posa, a cui si contrappone il dinamismo degli svolazzanti panneggi. La fredda luce lunare investe e indugia su alcuni particolari anatomici, donando ai corpi una definizione scultorea, nell’intricato ordito di diagonali messo in scena dal pittore. La tela fu acquistata a Roma nel 1802 dal cavalier Domenico Venuti per conto di re Ferdinando IV di Borbone, e trasferita nel Real Museo Borbonico nel 1854. Esiste una ulteriore versione oggi al Prado di Madrid, che si ritiene eseguita successivamente, ma la tela napoletana primeggia per il sapiente contrasto cromatico e chiaroscurale.;15 - Guido Reni_Atalanta e Ippomene_ph.L.Romano_70271
Q 378;Artemisia Gentileschi;Giuditta che decapita Oloferne;1612-13 ca.;Olio su tela;Misure senza cornice: 158,8x125,5 cm Misure con cornice: 208,3x174,3x17 cm;Il quadro da stanza raffigura un episodio tratto dal Libro apocrifo di Giuditta dell’Antico Testamento, in cui la giovane vedova ebrea si presenta a Oloferne, il generale di Nabucodonosor che da giorni tiene sotto assedio la città di Betulla, con la chiara volontà di mozzargli la testa e liberare il suo popolo. Giunto nelle collezioni del Museo Borbonico nel 1827 come opera di Caravaggio, è stato restituito alla mano della Gentileschi solo nel 1916 da Roberto Longhi. La datazione della tela è ormai unanimemente attestata dalla critica intorno al 1612-1613, poco prima del soggiorno fiorentino e durante l’apprendistato romano nella bottega del padre Orazio. La precocità di esecuzione è suffragata dalla marcata componente naturalistica acquisita dal contatto diretto con i caravaggeschi romani. Del medesimo soggetto esiste un’altra versione esposta agli Uffizi ormai ritenuta successiva, grazie agli esami diagnostici che hanno rivelato nella versione napoletana una quantità maggiore di pentimenti, tipici delle opere prime. La tela nel corso del tempo ha veicolato parte della critica verso una interpretazione che sovrappone le vicende biografiche a quelle pittoriche, identificando l’eroina ebrea con Artemisia stessa, vittima di violenza da parte del pittore Agostino Tassi nel 1611, e sottoposta al giudizio e alle torture di un tribunale nel processo contro il suo aggressore. Artemisia, sulla scia della versione dipinta da Caravaggio a Roma, decide di rappresentare il momento più cruento del racconto: la decapitazione condotta da Giuditta con veemenza e con il supporto di Abra, la sua serva. Degni di nota sono i passaggi chiaroscurali e la resa materica dei tessuti che attestano i primi tentativi di affrancarsi dalla bottega paterna per avviare una carriera autonoma.;16 - Artemisia Gentileschi_Giuditta e Oloferne_ph.L.Romano_12119
Q 622;Lionello Spada;Caino e Abele;1612-1614;Olio su tela ;Misure senza cornice: 178,5x118 cm Misure con cornice: 192,5x145,4x9,5 cm;Formatosi all’ombra dei Carracci, nell’Accademia degli Incamminati, nel 1609 Lionello ebbe l’opportunità di osservare da vicino le opere che Caravaggio aveva lasciato nella cattedrale di San Giovanni a Malta. Al rientro da La Valletta, dove aveva affrescato alcune sale del Palazzo dell’Ordine dei Cavalieri di Malta, la sua attività si svolse prevalentemente tra Bologna e Roma, rimanendo fedele al mondo caravaggesco, tanto da imitarne sia i modi artistici che i comportamenti nella vita sociale. Cesare Malvasia nel 1678 descrive così il pittore, appena rientrato a Bologna verso il 1611: spavaldo, con il cane al fianco, la mano sul pomo della spada, mantello corto che scendeva da una spalla, giubba trinciata, cappello piumato e al collo una collana d’oro donata dal Gran Maestro dei Cavalieri di Malta. Da qui il soprannome di “Scimmia del Caravaggio”. L’opera fu acquistata il 1º dicembre 1716 dai Farnese presso Angelo Maria Bosatti, in cambio di quattro quadri e sessanta doppie di Spagna. Ricordata a Parma nel 1731 e nel 1734, fu poi trasferita a Napoli insieme al resto della collezione Farnese. L’episodio raffigurato è quello della Genesi (4, 1-15), l’assassinio di Abele per mano del fratello Caino. La tela celebra le grandi masse muscolari dei giovani in combattimento, contrapposte nell’opposto sforzo fisico, descritto analiticamente grazie al forte contrasto chiaroscurale. Attribuita al primo soggiorno romano dell’artista, prima del 1614, l’opera segna la linea di confine verso una visione caravaggesca che, paradossalmente, non ha più nulla del lombardo, se non una visione di superficie che interpreta il naturalismo e lo studio dal vero in modo descrittivo. Diviene così uno straordinario esempio di pittura d’accademia, privo dello spirito rivoluzionario che animava l’esperienza pittorica di Caravaggio. Al Louvre, l’opera è esposta in confronto con il San Girolamo di Ribera, la Giuditta e Oloferne di Artemisia Gentileschi e i dipinti di Schedoni e dell’ambito carraccesco delle collezioni parigine.;17 - Q_622
Q 278;Francesco Guarino;Sant'Agata;1637-1640 ca;Olio su tela ;Misure senza cornice: 87x72 cm Misure con cornice: 116,5x100,5x8 cm;Dal fondo buio di una stanza emerge silenziosa una giovane donna dallo sguardo livido e umido di pianto che richiama l’attenzione dell’osservatore. Una parte del volto, dal colorito lunare, è in penombra. La mano destra tampona il seno con un panno bianco intriso di sangue. Il martirio è avvenuto. Agata, nata a Catania nel III secolo d.C., convertitasi al cristianesimo rifiutò di compiere sacrifici agli dei pagani e per questo fu condannata a una serie di supplizi culminati in un’atroce mutilazione: le furono recisi i seni. Il soggetto fu caro agli artisti napoletani del Seicento, e questa versione colpisce per l’intensità ritrattistica che allontana il contenuto di carattere sacro. Proveniente dal Quarto del priore della Certosa di San Martino ed esposta a Capodimonte dal 1957, la tela è stata attribuita a Francesco Guarino da Raffaello Causa. La datazione si attesta tra il 1637-1640 perché risulta stilisticamente vicina a una serie di opere realizzate dal pittore a partire dalla metà degli anni trenta del Seicento. Formatosi presso la bottega del padre Giovan Tommaso, fin dalle opere giovanili Guarino manifestò l’adozione di un caravaggismo colto, orientandosi verso gli esiti pittorici dei principali pittori napoletani: Massimo Stanzione, Battistello Caracciolo, Filippo Vitale e soprattutto Jusepe de Ribera, senza limitarsi a copiarne lo stile, ma rielaborando quanto osservato per approdare a un tratto autonomo, contraddistinto da figure nitide e perfettamente disegnate. La tela, dalla raffinatezza formale di stampo stanzionesco, risente nell’ideazione dell’esempio delle opere dipinte da Simon Vouet durante il suo soggiorno romano, soprattutto per il taglio “a mezza figura” e per il sapiente uso delle luci e dei colori.;18 - Francesco Guarino_S. Agata (part.)_ph.L.Romano_10804
Q 312;Jusepe de Ribera;San Girolamo e l’angelo del giudizio;1626;Olio su tela;Misure senza cornice: 262 x 164 cm Misure con cornice: 290 x 194 x 10,5 cm;Eseguito per la cappella laterale dell’altare maggiore della chiesa napoletana della Trinità delle Monache, il dipinto è rimasto nel luogo di origine fino alla soppressione dei conventi in epoca napoleonica. Nel 1813 fu trasferito al Palazzo degli Studi, sede storica del Real Museo Borbonico, per poi approdare al Museo di Capodimonte, inaugurato al pubblico il 5 maggio 1957. Il San Girolamo con l’angelo, datato 1626, è tra i maggiori dipinti pubblici della maturità di Ribera, trasferitosi stabilmente a Napoli già da una decade, nel 1616. La pala corona un’annata a dir poco eccezionale per lo spagnolo: insieme alla Trinità terrestre con i santi certosini, proveniente dalla stessa chiesa, e al Sileno ebbro, si possono considerare le tre opere principali su cui Ribera consolida la fama di maestro di stile e virtuosismi di superficie. Agli occhi dei contemporanei il quadro della Trinità delle Monache apparve nuovo, perché Ribera vi rivisitava un tema caro alla pittura caravaggesca, con una capacità di restituzione tangibile di cose e persone senza eguali nel panorama del tempo. I maestri locali che si confronteranno con lo stesso soggetto prenderanno le mosse da questa versione del San Girolamo, dove Ribera s’inoltra ad esplorare le epidermidi della senescenza, oltreché il rapporto tra le figure e gli straordinari inserti inanimati. La vicenda della natura morta napoletana del secondo trentennio del Seicento dipende anche dal teschio, dai libri e dai rotoli di questo San Girolamo.;19 - Jusepe de Ribera_San Girolamo e l'angelo del Giudizio_10904
Q 298;Jusepe de Ribera;Sileno ebbro;1626;olio su tela;Misure senza cornice: 185x229 cm Misure con cornice: 206x251,5 cm;Circondato da un asino ragliante e da un piccolo gruppo di satiri di varie età, riuniti in uno spazio aperto sotto un cielo coperto, Sileno – incoronato e appena sbarbato – sta per servirsi del vino versato da un assistente anziano. Completamente nudo, mostra alla luce il suo ventre imponente e poco idealizzato, mentre in primo piano una fauna grottesca composta da tartarughe, serpenti e una conchiglia accompagna la scena, conferendole un tono mitologico e al contempo profondamente terreno. Solo il giovane sileno, con le orecchie a punta, sembra invitare l’osservatore a sorridere di questa sgangherata parodia conviviale. In basso a sinistra, un serpente che azzanna un cartiglio attira l’attenzione sulla firma del pittore, la sua città d’origine e l’appartenenza all’Accademia romana di San Luca. Stabilitosi a Napoli dal 1616, Ribera, ormai trentacinquenne, consolida il proprio primato con quest’opera provocatoria e antieroica, tra i capolavori indiscussi di Capodimonte. L’Ebbrezza di Sileno reinterpreta con irriverenza un soggetto di lunga tradizione, omaggiando i Baccanali di Tiziano, allora visibili nelle collezioni del viceré di Napoli. Ribera rovescia però lo spirito rinascimentale veneto in chiave grottesca e barocca, in una lezione che influenzerà profondamente i pittori napoletani successivi, da Fracanzano al “Maestro degli Annunci ai Pastori” fino a Luca Giordano.;20 - Jusepe de Ribera_Sileno ebbro_ph.l.Romano_10797
Q 511;Jusepe de Ribera;Apollo e Marsia;1637;Olio su tela;Misure senza cornice: 182x232 cm Misure con cornice: 211x263x12 cm;Imbattutosi nel flauto di Minerva, Marsia impara a suonarlo così bene da osare sfidare Apollo. Sconfitto, come accade a chi pecchi di superbia, il satiro viene condannato a essere spellato vivo con lentezza dal dio stesso. Questo in sintesi l’episodio, crudele quanto amatissimo dai pittori del Cinque e Seicento, che si legge nelle Metamorfosi di Ovidio (VI, 382-400). Quando Ribera si accinge a trattarlo non ha neanche cinquant’anni e si è stabilito a Napoli da venti. Il dipinto, di destinazione privata – parte della collezione d’Avalos marchesi del Vasto, donata allo Stato italiano nel 1862 – è un punto di svolta nel transito della civiltà figurativa meridionale dal naturalismo al barocco. Immerso in un colore brillante, steso con pennellate dense e piene di risalti, il supplizio di Marsia riflette gli aggiornamenti di Ribera sulla cultura romana barocca, dai gruppi scultorei di Gian Lorenzo Bernini agli affreschi di Pietro da Cortona per la volta del salone di Palazzo Barberini, unita-mente ai recuperi della tradizione veneziana del Cinquecento. L’urlo del satiro ci chiama direttamente in causa mettendo in mostra la chiostra dentaria dipinta con scientifico rigore. Facile immaginare la presa del dipinto sui maestri napoletani: più di tutti ne rimase impressionato il giovane Luca Giordano, il quale meno di trent’anni dopo replicherà la composizione con importanti varianti che rivelano il suo debito. Nella pinacoteca di Bruxelles si conserva un’altra versione del dipinto, pure firmata nel ’37, con alcune varianti di peso.;21 - Jusepe de Ribera_Apollo e Marsia_1637_ph.L.Romano_10849
Q 799;Luca Giordano;Apollo e Marsia;1660 ca.;Olio su tela;Misure senza cornice: 205x259 cm Misure con cornice: 230x284,2x9,2 cm;"Dopo averlo legato per gli zoccoli a un albero, Apollo comincia a scorticare diligentemente Marsia, colpevole di aver osato sfidarlo a una gara di bravura al flauto. Il celebre episodio raccontato dal poeta latino Ovidio rivive in un plein air notturno, percorso da lampi improvvisi. Databile agli anni sessanta del Seicento, l’Apollo e Marsia, appartenuto al marchese di Genzano, è un capolavoro, raffinato e saturo di violenza, della maturità di Luca Giordano, il più grande pittore napoletano del Seicento e uno dei maggiori del tardo barocco europeo. Il dipinto, databile al 1660 circa, è specialmente importante perché riflette, in modo didascalico, come Giordano si ponesse rispetto a Ribera, suo maestro putativo, che trattò questo tema in un dipinto firmato nel 1637 del pari conservato a Capodimonte, e presente in mostra. Essenziale per intercettare la svolta della pittura napoletana in chiave barocca, questo confronto è stato proposto in varie esposizioni, a Napoli e fuori. L’accostamento tra le tele, che il Louvre ripropone, consente di mettere a fuoco la consistenza e i termini del rapporto tra due giganti del secolo barocco, a trent’anni di distanza. Ribera predilige una pittura chiara e preziosa, giocando di risalti ed effetti di superficie; Giordano, pur lasciando invariato lo schema della composizione, con Apollo che domina sul corpo riverso di Marsia, preferisce risolvere di profilo la figura del dio, in omaggio all’Apollo di Bernini del gruppo della Galleria Borghese, smorzando l’effetto di coinvolgimento dell’urlo del satiro. Ricco di trovate a effetto – dal contrasto del blu dei calzari di Apollo sugli incarnati del nudo di Marsia fino alla natura morta del flauto appeso al tronco –, il quadro è eseguito in modo sintetico. Come sempre accade in Giordano, ciò che conta alla fine è la celebrazione del gesto pittorico.";22 - Luca Giordano-Apollo e Marsia_Capodimonte_ph.L.Romano_10824
Q 258;Mattia Preti;San Nicola da Bari;1653;Olio su tela;Misure senza cornice: 217 x 156 cm Misure con cornice: 228 x 175,5 x 7,5 cm;"Il 20 dicembre del 1653, Preti riceve il pagamento per l’esecuzione del San Nicola, pala da porre sull’altare della cappella omonima di San Domenico Soriano, chiesa della comunità calabrese presente a Napoli. Il dipinto rappresenta l’esordio artistico del pittore nel Viceregno; come già a Roma, nell’esordio napoletano il pittore si confronta con il contesto artistico cittadino, caratterizzato da una matrice spirituale marcata, con figure potenti e dal chiaroscuro che ne accentuava il modellato e la tridimensionalità. Nel 1806, a seguito della soppressione dei monasteri, la tela entra a far parte delle collezioni borboniche, insieme ad altri due dipinti provenienti dalla stessa chiesa, un San Giovanni Battista e la Giuditta (Napoli, Museo e Real Bosco di Capodimonte).  Nicola, vescovo di Mira, in Asia minore, nella prima metà del IV secolo, è sostenuto da una gloria d’angeli, che recano gli attributi canonici del santo; questi si palesa in uno spazio, a metà strada tra il divino e il terrestre, completamente assorto dall’estasi, con il volto illuminato da una luce abbacinante, le braccia squadernate a compasso, a delimitare uno spazio senza confini.  Preti accoglie il realismo dei suoi predecessori, basti citare il San Girolamo e l’angelo di Ribera, superandone la concentrazione sulla fisicità e puntando l’attenzione sull’interazione tridimensionale tra figura e spazio circostante. La cromia generale è accesa con pochi tocchi di giallo, espediente stilistico caro al pittore, che conferisce plasticismo all’insieme. L’artista riproporrà più volte questo tema; tra le varie versioni si ricorda quella, di poco successiva, conservata nella pinacoteca civica di Fano, realizzata per i padri cappuccini della chiesa di Santa Cristina.";23 - Mattia Preti_San Nicola di Bari_Capodimonte_ph.L.Romano_7315
Proveniente da Napoli, chiesa di Santa Maria di Ogni Bene dei Sette Dolori (in sottoconsegna al Museo e Real Bosco di Capodimonte dal 1974);Mattia Preti;San Sebastiano;1656 ca.;Olio su tela ;Misure senza cornice: 240 x 169 cm Misure con cornice: 263 x 190,5 x 7,5 cm;"Mattia Preti, detto il “Cavalier calabrese”, esegue questa tela nei primi anni del suo soggiorno a Napoli, per la chiesa dei SS. Pietro e Sebastiano, retta dalle monache provenienti dalla chiesa di San Pietro in Castello. Secondo il biografo Bernardo de Dominici, il dipinto è respinto dalle domenicane a seguito della cattiva pubblicità fatta dal giovane Luca Giordano, che commentò così l’opera: “grossolana, e priva di quella nobiltà, e bellezza, che convengono a un corpo nobile, e che il volto sembrava più tosto d’un facchino, che d’un capitano de’ soldati, qual fu san Sebastiano”. Pertanto, la tela rifiutata viene donata dal pittore a un gentiluomo, Manlio Caputo, detentore del patronato della cappella di San Sebastiano nella chiesa di Santa Maria dei Sette Dolori di Napoli.  Sebastiano, cresciuto nella fede cristiana, si trasferisce nel 270 d.C. a Roma, dove diviene tribuno della guardia imperiale di Diocleziano. Segretamente persegue la sua opera di conversione al cristianesimo dei pagani e di assistenza ai carcerati. Scoperto, è condannato alla morte sul colle Palatino trafitto da frecce. Abbandonato dai soldati, che lo credono morto, è salvato da Irene, grazie a degli unguenti che guariscono le ferite. Una volta ripreso, piuttosto che fuggire, Sebastiano professa a Diocleziano la sua fede, ricevendo così la morte per mezzo della flagellazione.  La figura monumentale del santo, che con decoro accetta il suo martirio, è potentemente scorciata e domina la scena. La posa rompe ogni ponte con la tradizione classicista e apre alla teatralità barocca di Bernini, trasformando il martirio in un colloquio mistico, verso l’accettazione della sofferenza. In primo piano, ai piedi del santo, uno straordinario brano di natura morta, costituito dall’elmo con alcune frecce.  La natura del luminismo di Caravaggio, appreso a Roma da Preti, si unisce al naturalismo materico di Ribera; questi elementi si concretano, però, in una mobilità pittorica, tramite tocchi di colore grigio argentei sul perizoma e rossastri delle epidermidi, creando accordi cromatici di matrice neoveneta. Da questo prototipo, Preti trarrà numerose repliche, tra cui spicca la versione posteriore della Galleria Nazionale di Cosenza, già nella collezione Ferrara Dentice di Napoli.";24 - Mattia Preti_San Sebastiano_10861
Q 268;Luca Giordano;Madonna del Rosario (o del Baldacchino);1685 ca.;Olio su tela;Misure senza cornice: 430 x 240 cm Misure con cornice: 450x260 cm;"Eseguita per la chiesa di Santo Spirito di Palazzo, la Madonna del Rosario è la più nota e ammirata tra le commissioni pubbliche di Luca Giordano nella seconda metà degli anni ottanta del Seicento.  Nel momento in cui si confronta con un soggetto molte volte affrontato dai pittori, Giordano rinnova l’impostazione tradizionale, trasformando la scena sacra in una processione popolare, ricca di personaggi e colori che sfumano verso l’acquerello e anticipano un’atmosfera già settecentesca. Non a caso, l’opera sarà tra le più apprezzate e copiate anche da artisti stranieri come Fragonard, che giunse a Napoli nel 1781.  La Madonna di Santo Spirito rappresenta un manifesto delle poetiche mature di Giordano al ritorno da Firenze; ma segna anche un momento centrale della fortuna di Bernini nella cultura vicereale e spagnola, dato che il baldacchino costituisce un chiaro omaggio all’attività romana del maestro, scomparso da pochi anni. Tuttavia, Giordano rielabora il prototipo della basilica di San Pietro trasformandolo in una macchina festiva, tipica delle effimere scenografie barocche napoletane, e si ritaglia, nelle cinque bande laterali con episodi della vita di Cristo e della Vergine, una sorta di antologia personale.  ";25 - Luca Giordano_Madonna del Baldacchino_Capodimonte_ph.L.Romano_7326
Q 294;Abraham Brueghel e Giuseppe Ruoppolo;Natura morta con frutta e fiori;1680-1685;Olio su tela ;Misure senza cornice: 253 x 338 cm Misure con cornice: 273 x 358 x 10 cm;"La Natura morta con frutta e fiori, commissionata a Giuseppe Recco nel 1671, doveva rivestire le pareti di una fastosa sala di rappresentanza, insieme ad altre tre grandi nature morte. Donata nel 1862, tramite un legato testamentario dell’ultimo erede dei d’Avalos, alla Pinacoteca Nazionale di Napoli, assieme al resto della collezione, l’opera è stata riconosciuta solo nel secolo scorso come frutto della collaborazione – e sovrapposizione – tra due maestri del genere: il napoletano Giuseppe Ruoppolo e l’olandese Abraham Brueghel, giunto a Napoli nel 1675.  La macchinosa disposizione di alcuni elementi fa emergere il difficile dialogo tra le due personalità. Brueghel, fortemente segnato dalla cultura nordica, la arricchisce con novità barocche che stempera attraverso i motivi classici appresi durante il soggiorno romano. A lui si attribuiscono le scenografie architettoniche sulla destra, le statue nelle nicchie, fontane e basamenti, così come i fiori – non più freschi – che traboccano dal vaso scolpito.  Nel fasto barocco creato da Brueghel, Ruoppolo inserisce un campionario di funghi, uve, pere, fichi e selvaggina, studiati fin nei minimi dettagli; la luce ne sottolinea i riflessi, in particolare quelli dei quattro cedri che pendono dall’alto. In questa fase, anche le nature morte diventano vere e proprie scene teatrali, e il naturalismo più tenace si lascia assorbire dalla decorazione, privilegiando l’effetto visivo.";26 - Q_294
Q 463;Giuseppe Recco;Natura morta con pesci ed altri animali marini;1671;Olio su tela;Misure senza cornice: 260x340 cm Misure con cornice: 277,5 x 357 x 10 cm;"Una luce ancora caravaggesca modula il paesaggio in toni rossastri, accordandolo alle forme perfettamente dettagliate della natura marina. Tra coralli e madrepore, sono chiamati all’appello svariati frutti di mare, granchi, seppie e pesci spada, descritti nel guizzo lucido delle carni, nelle vibrazioni delle squame, negli occhi della testuggine riversa.  La grande tela faceva parte della serie commissionata da Andrea d’Avalos nel 1671, pervenuta poi nelle collezioni della Pinacoteca Nazionale di Napoli nel 1882, grazie al lascito testamentario del 1862 dell’ultimo erede della famiglia, e poi giunta a Capodimonte nel 1957. Riconosciuta oggi quale capolavoro della maturità di Giuseppe Recco (l’opera è siglata in basso “G.R.F.”), non ha spiccato in passato per fortuna critica, probabilmente perché dal 1929 al 1995 fu inviata in sottoconsegna al Senato e non esposta nel museo.  Sebbene il biografo De Dominici lo presenti quale massimo esperto di pittura di scoglio, Giuseppe Recco seppe invece spaziare con abilità tra tutti i soggetti; non è da escludere, anzi, che la stessa serie d’Avalos sia quasi una sorta di campionatura dei generi frequentati dall’artista. Provenendo da una famiglia di specialisti in nature morte, il cui ambito culturale era quello naturalistico, Recco aderisce al linguaggio barocco solo in facciata. Se nella produzione matura cederà ai richiami di fastose scenografie, con composizioni di ampio respiro e volumi ridondanti, la materia non si sfalda mai e si fa piuttosto preziosa: la rivoluzione anti-barocca di Recco passa attraverso il recupero della pennellata pittorica di Giordano e, a ritroso, di Ribera.";27 - DSC_4408a
